Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,DNSMOS_mos_ovr,PESQ,STOI,SI_SDR
mband_mel_N8_F20_O25_FL0p8,mel,8,20,25,0.8,1,3.0113,1.4388,0.7364,7.8465
mband_mel_N8_F20_O50_FL0p5,mel,8,20,50,0.5,1,3.0717,1.5119,0.7501,8.3788
mband_mel_N8_F20_O50_FL0p7,mel,8,20,50,0.7,1,3.2139,1.4403,0.7523,9.1465
mband_mel_N8_F20_O50_FL0p8,mel,8,20,50,0.8,1,3.3336,1.4702,0.7541,8.942
mband_mel_N8_F20_O75_FL0p5,mel,8,20,75,0.5,1,2.993,1.514,0.7254,8.6075
mband_mel_N8_F20_O75_FL0p7,mel,8,20,75,0.7,1,3.0178,1.3962,0.7309,9.2425
mband_mel_N8_F20_O75_FL0p8,mel,8,20,75,0.8,1,3.0138,1.5509,0.7278,9.1369
mband_mel_N8_F25_O25_FL0p5,mel,8,25,25,0.5,1,3.2357,1.4369,0.7343,7.6541
mband_mel_N8_F25_O25_FL0p7,mel,8,25,25,0.7,1,3.3442,1.3948,0.7397,7.526
mband_mel_N8_F25_O25_FL0p8,mel,8,25,25,0.8,1,3.3539,1.356,0.7554,7.2652
mband_mel_N8_F25_O50_FL0p5,mel,8,25,50,0.5,1,3.4913,1.5082,0.7611,8.6403
mband_mel_N8_F25_O50_FL0p7,mel,8,25,50,0.7,1,3.4985,1.5283,0.7319,8.9816
mband_mel_N8_F25_O50_FL0p8,mel,8,25,50,0.8,1,3.4468,1.3987,0.7145,8.3786
mband_mel_N8_F25_O75_FL0p5,mel,8,25,75,0.5,1,3.1883,1.4489,0.7682,9.298
mband_mel_N8_F25_O75_FL0p7,mel,8,25,75,0.7,1,2.8215,1.505,0.7435,9.1901
mband_mel_N8_F25_O75_FL0p8,mel,8,25,75,0.8,1,3.1436,1.4731,0.7387,9.6307
mband_mel_N8_F8_O25_FL0p5,mel,8,8,25,0.5,1,2.984,1.4735,0.7394,8.2657
mband_mel_N8_F8_O25_FL0p7,mel,8,8,25,0.7,1,3.2498,1.4248,0.748,8.7311
mband_mel_N8_F8_O25_FL0p8,mel,8,8,25,0.8,1,3.2782,1.3981,0.7327,8.508
mband_mel_N8_F8_O50_FL0p5,mel,8,8,50,0.5,1,2.6428,1.4546,0.7321,9.0178
mband_mel_N8_F8_O50_FL0p7,mel,8,8,50,0.7,1,2.8697,1.5193,0.7558,9.2825
mband_mel_N8_F8_O50_FL0p8,mel,8,8,50,0.8,1,3.0539,1.3903,0.725,8.9285
mband_mel_N8_F8_O75_FL0p5,mel,8,8,75,0.5,1,2.5847,1.5624,0.7506,9.6162
mband_mel_N8_F8_O75_FL0p7,mel,8,8,75,0.7,1,2.8743,1.4168,0.7452,9.2444
mband_mel_N8_F8_O75_FL0p8,mel,8,8,75,0.8,1,2.5957,1.474,0.7556,9.4084
