Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,Objective_Score,Subjective_Score,Balanced_Score,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr
mband_log_N4_F20_O50_FL0p2,log,4,20,50,0.2,1,0.5138,0.5829,0.5483,1.4935,0.7248,7.1468,2.9143
mband_log_N4_F20_O75_FL0p001,log,4,20,75,0.001,1,0.542,0.5289,0.5354,1.703,0.7201,8.4907,2.6443
mband_log_N4_F20_O75_FL0p02,log,4,20,75,0.02,1,0.5368,0.5059,0.5214,1.667,0.7183,8.3852,2.5296
mband_log_N4_F20_O75_FL0p2,log,4,20,75,0.2,1,0.5188,0.5584,0.5386,1.5056,0.731,7.6464,2.7921
mband_log_N4_F25_O25_FL0p001,log,4,25,25,0.001,1,0.5067,0.5695,0.5381,1.5001,0.7072,6.3494,2.8474
mband_log_N4_F25_O25_FL0p02,log,4,25,25,0.02,1,0.5036,0.567,0.5353,1.4826,0.7071,6.0767,2.8348
mband_log_N4_F25_O25_FL0p2,log,4,25,25,0.2,1,0.4945,0.6009,0.5477,1.3919,0.719,5.5238,3.0046
mband_log_N4_F25_O50_FL0p001,log,4,25,50,0.001,1,0.5338,0.5706,0.5522,1.6686,0.7132,7.8689,2.8529
mband_log_N4_F25_O50_FL0p02,log,4,25,50,0.02,1,0.531,0.5734,0.5522,1.6362,0.7185,7.735,2.8669
mband_log_N4_F25_O50_FL0p2,log,4,25,50,0.2,1,0.5121,0.5942,0.5532,1.4853,0.7265,6.7783,2.9711
mband_log_N4_F25_O75_FL0p001,log,4,25,75,0.001,1,0.5425,0.5524,0.5474,1.7082,0.7179,8.6478,2.7618
mband_log_N4_F25_O75_FL0p02,log,4,25,75,0.02,1,0.5371,0.535,0.5361,1.6679,0.7186,8.428,2.6749
mband_log_N4_F25_O75_FL0p2,log,4,25,75,0.2,1,0.5187,0.5588,0.5387,1.5132,0.7275,7.6447,2.7942
mband_log_N4_F8_O25_FL0p001,log,4,8,25,0.001,1,0.5062,0.4757,0.4909,1.5065,0.6992,6.6898,2.3784
mband_log_N4_F8_O25_FL0p02,log,4,8,25,0.02,1,0.5051,0.4913,0.4982,1.4874,0.7044,6.5758,2.4566
mband_log_N4_F8_O25_FL0p2,log,4,8,25,0.2,1,0.5034,0.556,0.5297,1.4314,0.7214,6.5521,2.7799
mband_log_N4_F8_O50_FL0p001,log,4,8,50,0.001,1,0.5222,0.4711,0.4966,1.597,0.708,7.4334,2.3556
mband_log_N4_F8_O50_FL0p02,log,4,8,50,0.02,1,0.5248,0.5106,0.5177,1.5929,0.7167,7.5922,2.5528
mband_log_N4_F8_O50_FL0p2,log,4,8,50,0.2,1,0.5119,0.5472,0.5295,1.4797,0.725,7.0582,2.7359
mband_log_N4_F8_O75_FL0p001,log,4,8,75,0.001,1,0.5189,0.4629,0.4909,1.5795,0.7052,7.3402,2.3145
mband_log_N4_F8_O75_FL0p02,log,4,8,75,0.02,1,0.5194,0.478,0.4987,1.5663,0.7106,7.4838,2.3899
mband_log_N4_F8_O75_FL0p2,log,4,8,75,0.2,1,0.5109,0.5167,0.5138,1.4643,0.7264,7.1727,2.5835
mband_log_N8_F20_O25_FL0p001,log,8,20,25,0.001,1,0.516,0.5779,0.547,1.559,0.7101,6.7766,2.8897
mband_log_N8_F20_O25_FL0p02,log,8,20,25,0.02,1,0.5171,0.5713,0.5442,1.5532,0.7162,6.7541,2.8565
mband_log_N8_F20_O25_FL0p2,log,8,20,25,0.2,1,0.5009,0.5811,0.541,1.4284,0.7223,5.8326,2.9056
mband_log_N8_F20_O50_FL0p001,log,8,20,50,0.001,1,0.5371,0.5452,0.5411,1.6767,0.7192,8.032,2.7258
mband_log_N8_F20_O50_FL0p02,log,8,20,50,0.02,1,0.5359,0.5676,0.5517,1.6697,0.7204,7.8253,2.8378
mband_log_N8_F20_O50_FL0p2,log,8,20,50,0.2,1,0.5143,0.5805,0.5474,1.5008,0.7244,7.0515,2.9026
mband_log_N8_F20_O75_FL0p001,log,8,20,75,0.001,1,0.5419,0.528,0.5349,1.6958,0.7221,8.5361,2.6398
mband_log_N8_F20_O75_FL0p02,log,8,20,75,0.02,1,0.5387,0.5349,0.5368,1.6717,0.7219,8.4639,2.6747
mband_log_N8_F20_O75_FL0p2,log,8,20,75,0.2,1,0.521,0.5548,0.5379,1.5206,0.7314,7.7183,2.774
mband_log_N8_F25_O25_FL0p001,log,8,25,25,0.001,1,0.5097,0.5763,0.543,1.5184,0.7094,6.3944,2.8815
mband_log_N8_F25_O25_FL0p02,log,8,25,25,0.02,1,0.5076,0.5805,0.5441,1.5003,0.7125,6.1495,2.9024
mband_log_N8_F25_O25_FL0p2,log,8,25,25,0.2,1,0.4943,0.6123,0.5533,1.3965,0.7171,5.484,3.0615
mband_log_N8_F25_O50_FL0p001,log,8,25,50,0.001,1,0.5364,0.5802,0.5583,1.6739,0.7208,7.799,2.9008
mband_log_N8_F25_O50_FL0p02,log,8,25,50,0.02,1,0.5344,0.5819,0.5582,1.6544,0.7211,7.8547,2.9097
