config,time_seconds,mode,Freq_spacing,Nband,FRMSZ,OVLP,Noisefr,FLOOR,AVRGING,VAD
mband_mel_N8_F25_O25_FL0p3,46.05405926704407,hybrid,mel,8,25,25,3,0.3,1,1
mband_mel_N8_F25_O25_FL0p5,45.575727462768555,hybrid,mel,8,25,25,3,0.5,1,1
mband_mel_N8_F25_O25_FL0p7,50.77023124694824,hybrid,mel,8,25,25,3,0.7,1,1
mband_mel_N8_F25_O25_FL0p8,47.01503133773804,hybrid,mel,8,25,25,3,0.8,1,1
mband_mel_N8_F25_O50_FL0p001,50.76571297645569,hybrid,mel,8,25,50,1,0.001,1,1
mband_mel_N8_F25_O50_FL0p3,52.64278221130371,hybrid,mel,8,25,50,1,0.3,1,1
mband_mel_N8_F25_O50_FL0p5,50.17232418060303,hybrid,mel,8,25,50,1,0.5,1,1
mband_mel_N8_F25_O50_FL0p7,50.91436958312988,hybrid,mel,8,25,50,1,0.7,1,1
mband_mel_N8_F25_O50_FL0p8,50.60638666152954,hybrid,mel,8,25,50,1,0.8,1,1
mband_mel_N8_F25_O50_FL0p001,49.34212136268616,hybrid,mel,8,25,50,3,0.001,1,1
mband_mel_N8_F25_O50_FL0p3,51.64608097076416,hybrid,mel,8,25,50,3,0.3,1,1
mband_mel_N8_F25_O50_FL0p5,51.21242308616638,hybrid,mel,8,25,50,3,0.5,1,1
mband_mel_N8_F25_O50_FL0p7,52.74859952926636,hybrid,mel,8,25,50,3,0.7,1,1
mband_mel_N8_F25_O50_FL0p8,52.53808879852295,hybrid,mel,8,25,50,3,0.8,1,1
mband_mel_N8_F25_O75_FL0p001,63.6890926361084,hybrid,mel,8,25,75,1,0.001,1,1
mband_mel_N8_F25_O75_FL0p3,62.38286542892456,hybrid,mel,8,25,75,1,0.3,1,1
mband_mel_N8_F25_O75_FL0p5,67.20802736282349,hybrid,mel,8,25,75,1,0.5,1,1
mband_mel_N8_F25_O75_FL0p7,62.5807101726532,hybrid,mel,8,25,75,1,0.7,1,1
mband_mel_N8_F25_O75_FL0p8,63.34008765220642,hybrid,mel,8,25,75,1,0.8,1,1
mband_mel_N8_F25_O75_FL0p001,62.71463084220886,hybrid,mel,8,25,75,3,0.001,1,1
mband_mel_N8_F25_O75_FL0p3,61.58207988739014,hybrid,mel,8,25,75,3,0.3,1,1
mband_mel_N8_F25_O75_FL0p5,64.34403944015503,hybrid,mel,8,25,75,3,0.5,1,1
mband_mel_N8_F25_O75_FL0p7,62.05146670341492,hybrid,mel,8,25,75,3,0.7,1,1
mband_mel_N8_F25_O75_FL0p8,62.338300704956055,hybrid,mel,8,25,75,3,0.8,1,1
mband_mel_N16_F8_O25_FL0p001,73.7218713760376,hybrid,mel,16,8,25,1,0.001,1,1
mband_mel_N16_F8_O25_FL0p3,75.36094951629639,hybrid,mel,16,8,25,1,0.3,1,1
mband_mel_N16_F8_O25_FL0p5,74.08601498603821,hybrid,mel,16,8,25,1,0.5,1,1
mband_mel_N16_F8_O25_FL0p7,73.66544914245605,hybrid,mel,16,8,25,1,0.7,1,1
mband_mel_N16_F8_O25_FL0p8,74.72164559364319,hybrid,mel,16,8,25,1,0.8,1,1
mband_mel_N16_F8_O25_FL0p001,81.49203324317932,hybrid,mel,16,8,25,3,0.001,1,1
