Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,SI_SDR,PESQ,STOI,DNSMOS_mos_ovr
mband_log_N8_F20_O25_FL0p3,log,8,20,25,0.3,1,8.8547,1.6941,0.7381,3.5583
mband_log_N8_F20_O25_FL0p5,log,8,20,25,0.5,1,8.9289,1.7,0.7377,3.5085
mband_log_N8_F20_O25_FL0p7,log,8,20,25,0.7,1,9.0143,1.694,0.7383,3.4665
mband_log_N8_F20_O25_FL0p8,log,8,20,25,0.8,1,8.8717,1.699,0.7362,3.4228
mband_log_N8_F20_O50_FL0p001,log,8,20,50,0.001,1,9.8676,1.8206,0.7354,3.4061
mband_log_N8_F20_O50_FL0p3,log,8,20,50,0.3,1,10.4085,1.8592,0.7419,3.3582
mband_log_N8_F20_O50_FL0p5,log,8,20,50,0.5,1,10.6218,1.8513,0.7454,3.4031
mband_log_N8_F20_O50_FL0p7,log,8,20,50,0.7,1,10.6762,1.8732,0.7423,3.4467
mband_log_N8_F20_O50_FL0p8,log,8,20,50,0.8,1,10.8154,1.8698,0.7474,3.3716
mband_log_N8_F20_O75_FL0p001,log,8,20,75,0.001,1,10.6186,1.8427,0.7405,3.1089
mband_log_N8_F20_O75_FL0p3,log,8,20,75,0.3,1,11.2463,1.8787,0.7433,3.1792
mband_log_N8_F20_O75_FL0p5,log,8,20,75,0.5,1,11.4488,1.8961,0.7473,3.242
mband_log_N8_F20_O75_FL0p7,log,8,20,75,0.7,1,11.7905,1.9065,0.7484,3.1737
mband_log_N8_F20_O75_FL0p8,log,8,20,75,0.8,1,11.8747,1.8961,0.7465,3.1696
mband_log_N8_F25_O25_FL0p001,log,8,25,25,0.001,1,7.8661,1.6048,0.7248,3.438
mband_log_N8_F25_O25_FL0p3,log,8,25,25,0.3,1,7.943,1.6464,0.7294,3.5146
mband_log_N8_F25_O25_FL0p5,log,8,25,25,0.5,1,8.3134,1.6468,0.7356,3.5077
mband_log_N8_F25_O25_FL0p7,log,8,25,25,0.7,1,8.3011,1.6478,0.7367,3.4463
mband_log_N8_F25_O25_FL0p8,log,8,25,25,0.8,1,8.2764,1.6447,0.7343,3.4951
mband_log_N8_F25_O50_FL0p001,log,8,25,50,0.001,1,9.4031,1.7519,0.7315,3.408
mband_log_N8_F25_O50_FL0p3,log,8,25,50,0.3,1,9.9542,1.7917,0.7398,3.5119
mband_log_N8_F25_O50_FL0p5,log,8,25,50,0.5,1,10.1164,1.8142,0.7391,3.4198
mband_log_N8_F25_O50_FL0p7,log,8,25,50,0.7,1,10.2555,1.8005,0.7428,3.4271
