config,time_seconds,mode,Freq_spacing,Nband,FRMSZ,OVLP,Noisefr,FLOOR,AVRGING,VAD
mband_mel_N16_F25_O50_FL0p7,1.4117376804351807,hybrid,mel,16,25,50,1,0.7,1,1
mband_mel_N16_F25_O50_FL0p8,1.4711215496063232,hybrid,mel,16,25,50,1,0.8,1,1
mband_mel_N16_F25_O75_FL0p5,1.886864423751831,hybrid,mel,16,25,75,1,0.5,1,1
mband_mel_N16_F25_O75_FL0p7,1.920314073562622,hybrid,mel,16,25,75,1,0.7,1,1
mband_mel_N16_F25_O75_FL0p8,1.9133872985839844,hybrid,mel,16,25,75,1,0.8,1,1
mband_linear_N4_F8_O25_FL0p5,1.4452857971191406,hybrid,linear,4,8,25,1,0.5,1,1
mband_linear_N4_F8_O25_FL0p7,1.517164707183838,hybrid,linear,4,8,25,1,0.7,1,1
mband_linear_N4_F8_O25_FL0p8,1.5167436599731445,hybrid,linear,4,8,25,1,0.8,1,1
mband_linear_N4_F8_O50_FL0p5,1.678023338317871,hybrid,linear,4,8,50,1,0.5,1,1
mband_linear_N4_F8_O50_FL0p7,1.6502509117126465,hybrid,linear,4,8,50,1,0.7,1,1
mband_linear_N4_F8_O50_FL0p8,1.6841819286346436,hybrid,linear,4,8,50,1,0.8,1,1
mband_linear_N4_F8_O75_FL0p5,2.374697685241699,hybrid,linear,4,8,75,1,0.5,1,1
mband_linear_N4_F8_O75_FL0p7,2.5198285579681396,hybrid,linear,4,8,75,1,0.7,1,1
mband_linear_N4_F8_O75_FL0p8,2.3977842330932617,hybrid,linear,4,8,75,1,0.8,1,1
mband_linear_N4_F20_O25_FL0p5,1.2258574962615967,hybrid,linear,4,20,25,1,0.5,1,1
mband_linear_N4_F20_O25_FL0p7,1.257246732711792,hybrid,linear,4,20,25,1,0.7,1,1
mband_linear_N4_F20_O25_FL0p8,1.2828364372253418,hybrid,linear,4,20,25,1,0.8,1,1
mband_linear_N4_F20_O50_FL0p5,1.2441942691802979,hybrid,linear,4,20,50,1,0.5,1,1
mband_linear_N4_F20_O50_FL0p7,1.3415749073028564,hybrid,linear,4,20,50,1,0.7,1,1
mband_linear_N4_F20_O50_FL0p8,1.331909418106079,hybrid,linear,4,20,50,1,0.8,1,1
mband_linear_N4_F20_O75_FL0p5,1.6718122959136963,hybrid,linear,4,20,75,1,0.5,1,1
mband_linear_N4_F20_O75_FL0p7,1.7453229427337646,hybrid,linear,4,20,75,1,0.7,1,1
mband_linear_N4_F20_O75_FL0p8,1.7041246891021729,hybrid,linear,4,20,75,1,0.8,1,1
mband_linear_N4_F25_O25_FL0p5,1.1707909107208252,hybrid,linear,4,25,25,1,0.5,1,1
mband_linear_N4_F25_O25_FL0p7,1.1458070278167725,hybrid,linear,4,25,25,1,0.7,1,1
mband_linear_N4_F25_O25_FL0p8,1.1430344581604004,hybrid,linear,4,25,25,1,0.8,1,1
mband_linear_N4_F25_O50_FL0p5,1.3081142902374268,hybrid,linear,4,25,50,1,0.5,1,1
mband_linear_N4_F25_O50_FL0p7,1.2534773349761963,hybrid,linear,4,25,50,1,0.7,1,1
mband_linear_N4_F25_O50_FL0p8,1.1990723609924316,hybrid,linear,4,25,50,1,0.8,1,1
mband_linear_N4_F25_O75_FL0p5,1.4893479347229004,hybrid,linear,4,25,75,1,0.5,1,1
mband_linear_N4_F25_O75_FL0p7,1.498236894607544,hybrid,linear,4,25,75,1,0.7,1,1
mband_linear_N4_F25_O75_FL0p8,1.4790325164794922,hybrid,linear,4,25,75,1,0.8,1,1
mband_linear_N8_F8_O25_FL0p5,1.6085081100463867,hybrid,linear,8,8,25,1,0.5,1,1
mband_linear_N8_F8_O25_FL0p7,1.6009392738342285,hybrid,linear,8,8,25,1,0.7,1,1
mband_linear_N8_F8_O25_FL0p8,1.5505287647247314,hybrid,linear,8,8,25,1,0.8,1,1
mband_linear_N8_F8_O50_FL0p5,1.8131966590881348,hybrid,linear,8,8,50,1,0.5,1,1
mband_linear_N8_F8_O50_FL0p7,1.8694767951965332,hybrid,linear,8,8,50,1,0.7,1,1
mband_linear_N8_F8_O50_FL0p8,1.9026803970336914,hybrid,linear,8,8,50,1,0.8,1,1
mband_linear_N8_F8_O75_FL0p5,2.725205183029175,hybrid,linear,8,8,75,1,0.5,1,1
mband_linear_N8_F8_O75_FL0p7,2.724755048751831,hybrid,linear,8,8,75,1,0.7,1,1
mband_linear_N8_F8_O75_FL0p8,2.742814064025879,hybrid,linear,8,8,75,1,0.8,1,1
mband_linear_N8_F20_O25_FL0p5,1.3207943439483643,hybrid,linear,8,20,25,1,0.5,1,1
mband_linear_N8_F20_O25_FL0p7,1.2651431560516357,hybrid,linear,8,20,25,1,0.7,1,1
mband_linear_N8_F20_O25_FL0p8,1.2233219146728516,hybrid,linear,8,20,25,1,0.8,1,1
mband_linear_N8_F20_O50_FL0p5,1.3830416202545166,hybrid,linear,8,20,50,1,0.5,1,1
mband_linear_N8_F20_O50_FL0p7,1.4464819431304932,hybrid,linear,8,20,50,1,0.7,1,1
mband_linear_N8_F20_O50_FL0p8,1.3610591888427734,hybrid,linear,8,20,50,1,0.8,1,1
mband_linear_N8_F20_O75_FL0p5,1.7617356777191162,hybrid,linear,8,20,75,1,0.5,1,1
mband_linear_N8_F20_O75_FL0p7,1.718517780303955,hybrid,linear,8,20,75,1,0.7,1,1
mband_linear_N8_F20_O75_FL0p8,1.8491675853729248,hybrid,linear,8,20,75,1,0.8,1,1
mband_linear_N8_F25_O25_FL0p5,1.1483335494995117,hybrid,linear,8,25,25,1,0.5,1,1
mband_linear_N8_F25_O25_FL0p7,1.2381360530853271,hybrid,linear,8,25,25,1,0.7,1,1
mband_linear_N8_F25_O25_FL0p8,1.1849570274353027,hybrid,linear,8,25,25,1,0.8,1,1
mband_linear_N8_F25_O50_FL0p5,1.374814510345459,hybrid,linear,8,25,50,1,0.5,1,1
mband_linear_N8_F25_O50_FL0p7,1.3706867694854736,hybrid,linear,8,25,50,1,0.7,1,1
mband_linear_N8_F25_O50_FL0p8,1.2927086353302002,hybrid,linear,8,25,50,1,0.8,1,1
mband_linear_N8_F25_O75_FL0p5,1.6239933967590332,hybrid,linear,8,25,75,1,0.5,1,1
mband_linear_N8_F25_O75_FL0p7,1.6784441471099854,hybrid,linear,8,25,75,1,0.7,1,1
mband_linear_N8_F25_O75_FL0p8,1.6705305576324463,hybrid,linear,8,25,75,1,0.8,1,1
mband_linear_N16_F8_O25_FL0p5,1.7832350730895996,hybrid,linear,16,8,25,1,0.5,1,1
